Date,Headcount,Hires,Voluntary_Terminations,Involuntary_Terminations,Total_Terminations,Attrition_Rate_Pct,Avg_Engagement_Score,Avg_Satisfaction_Score,Open_Requisitions
2009-03-01,132,0,0,1,1,0.75,3.77,3.72,0
2009-04-01,128,0,3,1,4,3.08,3.28,3.22,0
2009-05-01,123,0,1,4,5,3.98,3.21,3.02,1
2009-06-01,121,0,1,1,2,1.64,3.71,3.52,1
2009-07-01,115,0,2,4,6,5.08,3.08,2.94,2
2009-08-01,117,4,2,0,2,1.72,3.63,3.52,5
2009-09-01,117,2,0,2,2,1.71,3.59,3.49,6
2009-10-01,119,4,1,1,2,1.69,3.52,3.51,9
2009-11-01,123,7,0,3,3,2.48,3.19,3.5,8
2009-12-01,123,0,0,0,0,0.0,3.73,3.61,2
2010-01-01,129,7,0,1,1,0.79,3.78,3.71,11
2010-02-01,138,11,2,0,2,1.5,3.41,3.22,11
2010-03-01,144,8,2,0,2,1.42,3.62,3.54,11
2010-04-01,150,11,2,3,5,3.4,3.24,3.33,10
2010-05-01,156,8,0,2,2,1.31,3.76,3.68,4
2010-06-01,157,3,0,2,2,1.28,3.72,3.67,9
2010-07-01,166,12,3,0,3,1.86,3.83,3.46,10
2010-08-01,170,7,2,1,3,1.79,3.69,3.54,8
2010-09-01,174,6,2,0,2,1.16,3.53,3.61,6
2010-10-01,177,6,3,0,3,1.71,3.62,3.39,3
2010-11-01,179,3,1,0,1,0.56,3.61,3.66,5
2010-12-01,182,5,1,1,2,1.11,3.53,3.57,3
2011-01-01,180,0,2,0,2,1.1,3.65,3.44,3
2011-02-01,182,3,1,0,1,0.55,3.69,3.56,7
2011-03-01,184,2,0,0,0,0.0,4.0,3.64,5
2011-04-01,188,6,2,0,2,1.08,3.66,3.67,7
2011-05-01,191,4,1,0,1,0.53,3.81,3.85,1
2011-06-01,192,2,1,0,1,0.52,3.82,3.84,0
2011-07-01,192,0,0,0,0,0.0,3.91,4.06,5
2011-08-01,193,3,1,1,2,1.04,3.89,3.71,4
2011-09-01,196,6,0,3,3,1.54,3.7,3.61,2
2011-10-01,194,1,3,0,3,1.54,3.77,3.56,4
2011-11-01,197,6,3,0,3,1.53,3.81,3.47,5
2011-12-01,199,3,1,0,1,0.51,3.58,3.61,1
2012-01-01,198,1,2,0,2,1.01,3.64,3.85,6
2012-02-01,203,10,5,0,5,2.49,3.26,3.19,12
2012-03-01,204,6,4,1,5,2.46,3.36,3.2,3
2012-04-01,204,2,2,0,2,0.98,3.69,3.7,0
2012-05-01,203,1,1,1,2,0.98,3.68,3.72,7
2012-06-01,204,7,6,0,6,2.95,3.34,3.11,7
2012-07-01,206,3,1,0,1,0.49,3.87,3.98,4
2012-08-01,209,6,2,1,3,1.45,3.54,3.6,2
2012-09-01,210,3,2,0,2,0.95,3.83,3.55,2
2012-10-01,213,3,0,0,0,0.0,3.73,4.01,5
2012-11-01,213,5,5,0,5,2.35,3.73,3.39,6
2012-12-01,213,1,1,0,1,0.47,3.66,3.52,5
2013-01-01,218,10,4,1,5,2.32,3.4,3.51,8
2013-02-01,216,3,4,1,5,2.3,3.28,3.38,5
2013-03-01,217,3,2,0,2,0.92,3.93,3.62,1
2013-04-01,220,6,3,0,3,1.37,3.83,3.77,10
2013-05-01,224,7,3,0,3,1.35,3.78,3.63,2
2013-06-01,222,0,1,1,2,0.9,3.67,3.73,4
2013-07-01,226,5,0,1,1,0.45,3.92,3.75,3
2013-08-01,224,0,1,1,2,0.89,3.65,3.81,6
2013-09-01,230,7,1,0,1,0.44,3.99,3.86,6
2013-10-01,231,1,0,0,0,0.0,3.94,3.86,0
2013-11-01,233,6,2,2,4,1.72,3.51,3.34,2
2013-12-01,231,0,2,0,2,0.86,3.35,3.62,4
2014-01-01,232,6,4,1,5,2.16,3.31,3.3,6
2014-02-01,233,5,4,0,4,1.72,3.62,3.24,7
2014-03-01,235,5,3,0,3,1.28,3.81,3.35,10
2014-04-01,238,9,5,1,6,2.54,3.63,3.38,10
2014-05-01,240,6,4,0,4,1.67,3.49,3.2,6
2014-06-01,244,5,1,0,1,0.41,3.96,3.86,0
2014-07-01,242,0,2,0,2,0.82,3.96,3.7,3
2014-08-01,246,6,2,0,2,0.82,3.6,3.92,4
2014-09-01,246,0,0,0,0,0.0,3.89,3.83,0
2014-10-01,248,4,2,0,2,0.81,3.73,3.77,8
2014-11-01,250,7,5,0,5,2.01,3.41,3.33,11
2014-12-01,251,8,6,1,7,2.79,3.08,3.2,9
2015-01-01,255,7,2,1,3,1.19,3.56,3.62,0
2015-02-01,253,0,2,0,2,0.79,3.66,3.56,1
2015-03-01,257,6,0,2,2,0.78,3.74,3.78,9
2015-04-01,257,2,2,0,2,0.78,3.74,3.56,6
2015-05-01,261,10,6,0,6,2.32,3.51,3.43,3
2015-06-01,261,2,2,0,2,0.77,3.85,3.88,8
2015-07-01,264,8,5,0,5,1.9,3.7,3.61,5
2015-08-01,264,1,1,0,1,0.38,3.84,4.09,5
2015-09-01,266,4,1,1,2,0.75,3.71,3.64,5
2015-10-01,268,4,2,0,2,0.75,3.72,3.52,5
2015-11-01,269,3,1,1,2,0.74,3.44,3.53,6
2015-12-01,272,6,3,0,3,1.11,3.65,3.63,10
2016-01-01,272,9,9,0,9,3.31,3.22,3.13,12
2016-02-01,272,4,4,0,4,1.47,3.59,3.48,7
2016-03-01,275,5,1,1,2,0.73,3.88,3.51,2
2016-04-01,276,3,2,0,2,0.73,3.58,3.8,12
2016-05-01,280,15,10,1,11,3.96,3.04,2.88,15
2016-06-01,280,7,7,0,7,2.5,3.58,3.54,11
2016-07-01,281,8,7,0,7,2.5,3.54,3.77,9
2016-08-01,286,8,3,0,3,1.06,3.78,3.74,9
2016-09-01,284,3,3,2,5,1.75,3.53,3.59,7
2016-10-01,288,6,1,1,2,0.7,3.8,3.64,10
2016-11-01,288,2,2,0,2,0.69,3.8,3.43,5
2016-12-01,291,9,6,0,6,2.07,3.48,3.26,7
2017-01-01,292,4,3,0,3,1.03,3.59,3.41,5
2017-02-01,293,6,5,0,5,1.71,3.29,3.23,9
2017-03-01,299,11,5,0,5,1.69,3.69,3.68,5
2017-04-01,298,0,1,0,1,0.34,4.03,3.82,0
2017-05-01,300,9,6,1,7,2.34,3.64,3.44,9
2017-06-01,301,7,6,0,6,2.0,3.53,3.45,9
2017-07-01,303,7,3,2,5,1.66,3.77,3.56,9
2017-08-01,306,10,7,0,7,2.3,3.64,3.55,14
2017-09-01,309,7,3,1,4,1.3,3.85,3.61,6
2017-10-01,311,3,1,0,1,0.32,3.68,3.86,6
2017-11-01,311,2,2,0,2,0.64,3.67,3.65,5
2017-12-01,313,5,3,0,3,0.96,3.71,3.54,6
2018-01-01,314,2,1,0,1,0.32,3.76,3.53,4
2018-02-01,316,3,1,0,1,0.32,3.65,3.46,10
2018-03-01,319,9,6,0,6,1.89,3.61,3.37,10
2018-04-01,323,8,4,0,4,1.25,3.79,3.59,6
2018-05-01,323,1,1,0,1,0.31,3.93,3.66,4
2018-06-01,326,4,1,0,1,0.31,3.96,3.86,2
2018-07-01,324,1,2,1,3,0.92,3.79,3.75,5
2018-08-01,328,6,1,1,2,0.61,4.01,3.51,13
2018-09-01,328,8,7,1,8,2.44,3.35,3.25,10
2018-10-01,334,10,4,0,4,1.21,3.56,3.65,7
2018-11-01,333,0,1,0,1,0.3,3.75,3.8,10
2018-12-01,337,12,7,1,8,2.39,3.47,3.12,11
2019-01-01,338,2,1,0,1,0.3,3.57,3.73,7
2019-02-01,339,10,8,1,9,2.66,3.21,3.35,5
2019-03-01,342,7,3,1,4,1.17,3.44,3.67,12
2019-04-01,343,12,10,1,11,3.21,3.38,3.15,6
2019-05-01,344,6,4,1,5,1.46,3.59,3.52,11
2019-06-01,346,8,6,0,6,1.74,3.64,3.47,10
2019-07-01,346,8,8,0,8,2.31,3.65,3.5,10
2019-08-01,347,6,3,2,5,1.44,3.61,3.64,4
2019-09-01,344,4,6,1,7,2.03,3.56,3.54,2
2019-10-01,343,4,3,2,5,1.46,3.55,3.56,6
2019-11-01,342,5,4,2,6,1.75,3.58,3.55,7
2019-12-01,337,7,5,7,12,3.53,3.22,3.04,7
2020-01-01,332,6,6,5,11,3.29,3.14,3.17,10
2020-02-01,332,10,6,4,10,3.01,3.29,3.25,18
2020-03-01,329,11,7,7,14,4.24,3.27,2.79,14
2020-04-01,330,10,3,6,9,2.73,3.51,3.03,14
2020-05-01,327,10,5,8,13,3.96,3.11,3.24,17
2020-06-01,333,15,3,6,9,2.73,3.59,3.37,20
2020-07-01,340,14,2,5,7,2.08,3.48,3.26,18
2020-08-01,345,17,7,5,12,3.5,3.49,3.08,20
2020-09-01,356,24,7,6,13,3.71,3.36,3.19,22
2020-10-01,364,13,3,2,5,1.39,3.63,3.52,17
2020-11-01,370,13,6,1,7,1.91,3.49,3.34,18
2020-12-01,379,21,11,1,12,3.2,3.2,3.28,27
2021-01-01,386,25,15,3,18,4.71,3.05,2.62,22
2021-02-01,391,14,9,0,9,2.32,3.39,3.18,20
2021-03-01,397,15,8,1,9,2.28,3.52,3.35,19
2021-04-01,402,14,8,1,9,2.25,3.65,3.42,21
2021-05-01,408,18,12,0,12,2.96,3.39,3.32,22
2021-06-01,412,17,13,0,13,3.17,3.36,3.36,14
2021-07-01,417,7,2,0,2,0.48,3.75,3.86,11
2021-08-01,419,10,7,1,8,1.91,3.48,3.58,12
2021-09-01,423,14,9,1,10,2.38,3.25,3.35,13
2021-10-01,431,15,7,0,7,1.64,3.64,3.51,17
2021-11-01,432,13,12,0,12,2.78,3.53,3.23,17
2021-12-01,436,15,11,0,11,2.53,3.52,3.27,20
2022-01-01,440,15,11,0,11,2.51,3.17,3.33,22
2022-02-01,445,17,11,1,12,2.71,3.45,3.27,22
2022-03-01,444,15,16,0,16,3.6,3.43,3.04,20
2022-04-01,449,22,16,1,17,3.81,3.21,2.93,17
2022-05-01,449,7,7,0,7,1.56,3.71,3.57,15
2022-06-01,453,16,12,0,12,2.66,3.28,3.35,19
2022-07-01,454,7,6,0,6,1.32,3.78,3.68,12
2022-08-01,454,8,7,1,8,1.76,3.5,3.83,19
2022-09-01,460,20,12,2,14,3.06,3.37,3.17,15
2022-10-01,459,7,8,0,8,1.74,3.35,3.54,11
2022-11-01,460,14,13,0,13,2.83,3.37,3.34,18
2022-12-01,461,13,12,0,12,2.61,3.45,3.24,15
2023-01-01,461,16,13,3,16,3.47,3.1,3.33,17
2023-02-01,463,13,11,0,11,2.38,3.28,3.22,15
2023-03-01,463,13,11,2,13,2.81,3.14,3.25,15
2023-04-01,462,6,7,0,7,1.51,3.64,3.43,12
2023-05-01,464,16,14,0,14,3.02,3.37,3.2,10
2023-06-01,463,8,8,1,9,1.94,3.46,3.54,11
2023-07-01,465,8,6,0,6,1.29,3.8,3.77,8
2023-08-01,465,7,5,2,7,1.51,3.62,3.64,11
2023-09-01,467,11,8,1,9,1.93,3.42,3.64,11
2023-10-01,468,7,5,1,6,1.28,3.55,3.57,9
2023-11-01,468,9,8,1,9,1.92,3.59,3.36,18
2023-12-01,470,19,17,0,17,3.62,3.22,3.36,14
2024-01-01,469,10,8,3,11,2.34,3.38,3.32,11
2024-02-01,474,10,3,2,5,1.06,3.73,3.47,15
2024-03-01,475,12,10,1,11,2.32,3.34,3.22,12
2024-04-01,476,10,9,0,9,1.89,3.61,3.33,10
2024-05-01,478,12,9,1,10,2.1,3.62,3.56,19
2024-06-01,480,17,12,3,15,3.13,3.38,3.2,19
2024-07-01,482,11,7,2,9,1.87,3.7,3.55,11
2024-08-01,482,7,5,2,7,1.45,3.59,3.6,7
2024-09-01,488,11,5,0,5,1.03,3.77,3.77,14
2024-10-01,488,10,10,0,10,2.05,3.55,3.3,9
2024-11-01,491,10,7,0,7,1.43,3.2,3.37,17
2024-12-01,494,17,13,1,14,2.84,3.43,3.2,18
2025-01-01,496,16,13,1,14,2.83,2.94,3.24,14
2025-02-01,499,11,8,0,8,1.61,3.48,3.48,12
2025-03-01,499,11,11,0,11,2.2,3.63,3.24,12
2025-04-01,502,10,6,1,7,1.4,3.66,3.64,11
2025-05-01,505,11,7,1,8,1.59,3.52,3.46,17
2025-06-01,508,15,12,0,12,2.37,3.44,3.35,15
2025-07-01,511,12,8,1,9,1.77,3.79,3.43,16
2025-08-01,513,11,6,3,9,1.76,3.4,3.71,16
2025-09-01,514,15,14,0,14,2.73,3.54,3.39,19
2025-10-01,517,19,11,5,16,3.1,3.29,3.26,21
2025-11-01,522,19,12,2,14,2.69,3.19,3.4,13
2025-12-01,525,8,5,0,5,0.96,3.55,3.95,10
